glytoucan_ac,byonic,name_source,composition,mass
G15571PG,HexNAc(2)Hex(3) % 910.32778041,G28681TP,HexNAc(2)Hex(3),910.32778041
G15577DT,HexNAc(4)Hex(5)dHex(2)NeuAc(2) % 2514.89882363,G84291SQ,HexNAc(4)Hex(5)dHex(2)NeuAc(2),2514.89882363
G15577GZ,HexNAc(2)Hex(3)dHex(1) % 1056.38568928,G20956ZV,HexNAc(2)Hex(3)dHex(1),1056.38568928
G15579SF,HexNAc(6)Hex(3) % 1722.64527083,G83633GK,HexNAc(6)Hex(3),1722.64527083
G15580BH,HexNAc(7)Hex(8)dHex(2) % 3028.10457868,G27378DU,HexNAc(7)Hex(8)dHex(2),3028.10457868
G15583QB,HexNAc(3)Hex(5)NeuAc(2) % 2019.70363329,G11157ZG,HexNAc(3)Hex(5)NeuAc(2),2019.70363329
G15583YJ,HexNAc(3)Hex(5)NeuAc(1) % 1728.60821665,G37399XV,HexNAc(3)Hex(5)NeuAc(1),1728.60821665
G15585ET,HexNAc(6)Hex(6)dHex(1)NeuAc(1)Sulpho(2) % 2805.87069602,G11206IW,HexNAc(6)Hex(6)dHex(1)NeuAc(1)Sulpho(2),2805.87069602
G15590MB,HexNAc(5)Hex(6)dHex(1)NeuGc(2) % 2765.96294012,G77959MZ,HexNAc(5)Hex(6)dHex(1)NeuGc(2),2765.96294012
G15591ES,HexNAc(2)Hex(3) % 910.32778041,G28681TP,HexNAc(2)Hex(3),910.32778041
G15591FI,HexNAc(6)Hex(3)dHex(1)Sulpho(2) % 2028.61680888,G71640LP,HexNAc(6)Hex(3)dHex(1)Sulpho(2),2028.61680888
G15597AB,HexNAc(4)Hex(6) % 1802.64499612,G02886BB,HexNAc(4)Hex(6),1802.64499612
G15600HS,HexNAc(5)Hex(6)NeuAc(3) % 2879.01061863,G06247RL,HexNAc(5)Hex(6)NeuAc(3),2879.01061863
G15602PX,HexNAc(1)Hex(1)dHex(1)NeuAc(1) % 820.29608631,G98896IU,HexNAc(1)Hex(1)dHex(1)NeuAc(1),820.29608631
G15605KR,HexNAc(2)Hex(3)dHex(1) % 1056.38568928,G20956ZV,HexNAc(2)Hex(3)dHex(1),1056.38568928
G15605OU,HexNAc(4)Hex(5)dHex(3) % 2078.76589923,G87051GH,HexNAc(4)Hex(5)dHex(3),2078.76589923
G15611BA,HexNAc(1)Hex(1)dHex(1) % 529.200669675,G54129SE,HexNAc(1)Hex(1)dHex(1),529.200669675
G15613AB,Hex(5)Phospho(1) % 908.241013125,G88372OE,Hex(5)Phospho(1),908.241013125
G15613OE,HexNAc(4)Hex(5)dHex(3) % 2078.76589923,G87051GH,HexNAc(4)Hex(5)dHex(3),2078.76589923
G15615MS,HexNAc(5)Hex(8)dHex(1)NeuAc(1) % 2766.98334123,G58014BV,HexNAc(5)Hex(8)dHex(1)NeuAc(1),2766.98334123
G15618SO,HexNAc(1)Hex(4)NeuAc(1) % 1160.39664794,G11239ZB,HexNAc(1)Hex(4)NeuAc(1),1160.39664794
G15621HW,HexNAc(3)Hex(5)dHex(2)NeuAc(2) % 2311.81945103,G20899EQ,HexNAc(3)Hex(5)dHex(2)NeuAc(2),2311.81945103
G15624NS,HexNAc(1)Hex(1)NeuAc(1) % 674.23817744,G17015OC,HexNAc(1)Hex(1)NeuAc(1),674.23817744
G15626ED,HexNAc(2)Hex(1)dHex(1) % 732.28004228,G94583DZ,HexNAc(2)Hex(1)dHex(1),732.28004228
G15631KB,HexNAc(3)Hex(3)dHex(1) % 1259.46506189,G80475RE,HexNAc(3)Hex(3)dHex(1),1259.46506189
G15631YF,HexNAc(6)Hex(7)NeuAc(4) % 3535.23823137,G11115RO,HexNAc(6)Hex(7)NeuAc(4),3535.23823137
G15632HU,HexNAc(5)Hex(3)dHex(1) % 1665.6238071,G88725PI,HexNAc(5)Hex(3)dHex(1),1665.6238071
G15635CJ,HexNAc(3)Hex(3)dHex(1)NeuAc(1) % 1550.56047852,G64239ON,HexNAc(3)Hex(3)dHex(1)NeuAc(1),1550.56047852
G15638PX,HexNAc(2)Hex(6) % 1396.48625091,G41247ZX,HexNAc(2)Hex(6),1396.48625091
G15640PW,HexNAc(3)Hex(5)dHex(1) % 1583.57070889,G15486FH,HexNAc(3)Hex(5)dHex(1),1583.57070889
G15642UW,HexNAc(3)Hex(2)dHex(1) % 1097.41223839,G02809YH,HexNAc(3)Hex(2)dHex(1),1097.41223839
G15643IJ,HexNAc(4)Hex(6)dHex(1) % 1948.70290499,G09197ZW,HexNAc(4)Hex(6)dHex(1),1948.70290499
G15653JZ,HexNAc(3)Hex(3)dHex(1) % 1259.46506189,G80475RE,HexNAc(3)Hex(3)dHex(1),1259.46506189
G15654DH,HexNAc(4)Hex(2)dHex(1) % 1300.49161099,G60060GI,HexNAc(4)Hex(2)dHex(1),1300.49161099
G15654HK,HexNAc(3)Hex(3)dHex(1) % 1259.46506189,G80475RE,HexNAc(3)Hex(3)dHex(1),1259.46506189
G15654RT,HexNAc(2)Hex(9) % 1882.64472141,G80920RR,HexNAc(2)Hex(9),1882.64472141
G15655AE,HexNAc(6)Hex(9)dHex(1) % 2841.0201207,G95460VT,HexNAc(6)Hex(9)dHex(1),2841.0201207
G15657DF,HexNAc(2)Hex(6) % 1396.48625091,G41247ZX,HexNAc(2)Hex(6),1396.48625091
G15658UQ,HexNAc(1)Hex(3)dHex(1)NeuAc(1) % 1144.40173331,G97949VC,HexNAc(1)Hex(3)dHex(1)NeuAc(1),1144.40173331
G15664MX,HexNAc(4)Hex(7)dHex(1) % 2110.75572849,G62595EF,HexNAc(4)Hex(7)dHex(1),2110.75572849
G15666IG,HexNAc(1)Hex(4) % 869.301231305,G15666IG,HexNAc(1)Hex(4),869.301231305
G15666OL,HexNAc(2)Hex(3)dHex(2) % 1202.44359815,G21726WW,HexNAc(2)Hex(3)dHex(2),1202.44359815
G15667KI,HexNAc(3)Hex(2) % 951.354329515,G73004SD,HexNAc(3)Hex(2),951.354329515
G15675LO,Hex(2) % 342.1162117,G90627TW,Hex(2),342.1162117
G15681WF,HexNAc(4)Hex(5)NeuAc(1) % 1931.68758926,G59626AS,HexNAc(4)Hex(5)NeuAc(1),1931.68758926
G15683CN,HexNAc(3)Hex(5)NeuAc(1) % 1728.60821665,G37399XV,HexNAc(3)Hex(5)NeuAc(1),1728.60821665
G15687DE,HexNAc(4)Hex(5)dHex(1)NeuAc(1) % 2077.74549812,G08293MJ,HexNAc(4)Hex(5)dHex(1)NeuAc(1),2077.74549812
G15687EU,HexNAc(5)Hex(5)dHex(2) % 2135.78736296,G29651HS,HexNAc(5)Hex(5)dHex(2),2135.78736296
G15688CE,HexNAc(6)Hex(3)dHex(1)Sulpho(1) % 1948.65999429,G11145KS,HexNAc(6)Hex(3)dHex(1)Sulpho(1),1948.65999429
G15691DM,HexNAc(2)Hex(6)Phospho(2) % 1556.41891276,G76535FN,HexNAc(2)Hex(6)Phospho(2),1556.41891276
G15694HF,HexNAc(3)Hex(5)dHex(2) % 1729.62861776,G27622TD,HexNAc(3)Hex(5)dHex(2),1729.62861776
G15696VL,HexNAc(4)Hex(5)NeuAc(3) % 2513.87842253,G67031OU,HexNAc(4)Hex(5)NeuAc(3),2513.87842253
G15698YB,HexNAc(4)Hex(5)NeuAc(1) % 1931.68758926,G59626AS,HexNAc(4)Hex(5)NeuAc(1),1931.68758926
G15703MZ,HexNAc(1)Hex(2)dHex(2) % 837.311402045,G67199LR,HexNAc(1)Hex(2)dHex(2),837.311402045
G15704AX,Hex(2)dHex(1) % 488.17412057,G89864HJ,Hex(2)dHex(1),488.17412057
G15705EH,HexNAc(3)Hex(3)dHex(2) % 1405.52297075,G28997IA,HexNAc(3)Hex(3)dHex(2),1405.52297075
G15706DW,HexNAc(2)Hex(3) % 910.32778041,G28681TP,HexNAc(2)Hex(3),910.32778041
G15709CQ,Hex(3) % 504.1690352,G39365VM,Hex(3),504.1690352
G15710ZS,HexNAc(3)Hex(5)dHex(3) % 1875.68652662,G06231AO,HexNAc(3)Hex(5)dHex(3),1875.68652662
G15714MJ,HexNAc(1)Hex(1)NeuAc(1)NeuGc(1) % 981.328508705,G76100HQ,HexNAc(1)Hex(1)NeuAc(1)NeuGc(1),981.328508705
G15715EV,HexNAc(1)Hex(4)NeuGc(1) % 1176.39156257,G43071TH,HexNAc(1)Hex(4)NeuGc(1),1176.39156257
G15715JA,HexNAc(3)Hex(6) % 1599.56562352,G28541PG,HexNAc(3)Hex(6),1599.56562352
G15715XI,HexNAc(5)Hex(6)dHex(1) % 2151.78227759,G44211QA,HexNAc(5)Hex(6)dHex(1),2151.78227759
G15718TL,HexNAc(7)Hex(5)dHex(3) % 2688.00401705,G24202RA,HexNAc(7)Hex(5)dHex(3),2688.00401705
G15719NX,HexNAc(4)Hex(5)dHex(1)Sulpho(1) % 1866.60689608,G63236GA,HexNAc(4)Hex(5)dHex(1)Sulpho(1),1866.60689608
G15719TB,HexNAc(2)Hex(3)NeuAc(1) % 1201.42319705,G43709WM,HexNAc(2)Hex(3)NeuAc(1),1201.42319705
G15720UK,HexNAc(5)Hex(4)dHex(1)NeuAc(1) % 2118.77204723,G44953PJ,HexNAc(5)Hex(4)dHex(1)NeuAc(1),2118.77204723
G15721HF,HexNAc(2)Hex(8) % 1720.59189791,G62765YT,HexNAc(2)Hex(8),1720.59189791
G15721UI,HexNAc(1)Hex(4)dHex(1) % 1015.35914017,G25928EE,HexNAc(1)Hex(4)dHex(1),1015.35914017
G15722BZ,HexNAc(6)Hex(8) % 2532.90938833,G14305YT,HexNAc(6)Hex(8),2532.90938833
G15727EQ,Hex(3) % 504.1690352,G39365VM,Hex(3),504.1690352
G15727JK,HexNAc(3)Hex(4)dHex(1) % 1421.51788538,G10339FR,HexNAc(3)Hex(4)dHex(1),1421.51788538
G15730FJ,HexNAc(5)Hex(6)dHex(1)NeuAc(2) % 2733.97311086,G85144OK,HexNAc(5)Hex(6)dHex(1)NeuAc(2),2733.97311086
G15734AK,HexNAc(4)Hex(5)dHex(3)NeuAc(3) % 2952.05214914,G86364NQ,HexNAc(4)Hex(5)dHex(3)NeuAc(3),2952.05214914
G15736LI,HexNAc(6)Hex(4)dHex(1)NeuAc(1) % 2321.85141983,G79941IJ,HexNAc(6)Hex(4)dHex(1)NeuAc(1),2321.85141983
G15736PY,Hex(2)NeuAc(1) % 633.211628335,G94094XU,Hex(2)NeuAc(1),633.211628335
G15740HA,Hex(4) % 666.2218587,G90306QO,Hex(4),666.2218587
G15747DD,HexNAc(4)Hex(4)dHex(1)NeuAc(1) % 1915.69267463,G54600FO,HexNAc(4)Hex(4)dHex(1)NeuAc(1),1915.69267463
G15750OF,HexNAc(6)Hex(5)dHex(2)NeuAc(2) % 2921.05756884,G15750OF,HexNAc(6)Hex(5)dHex(2)NeuAc(2),2921.05756884
G15754ET,HexNAc(5)Hex(6)dHex(1)NeuAc(2) % 2733.97311086,G85144OK,HexNAc(5)Hex(6)dHex(1)NeuAc(2),2733.97311086
G15756SW,HexNAc(2)Hex(2)Sulpho(1) % 828.2317715,G66863RH,HexNAc(2)Hex(2)Sulpho(1),828.2317715
G15757GO,HexNAc(8)Hex(7)dHex(1) % 2923.07321891,G65957XL,HexNAc(8)Hex(7)dHex(1),2923.07321891
G15757MR,HexNAc(2)Hex(6) % 1396.48625091,G41247ZX,HexNAc(2)Hex(6),1396.48625091
G15757QE,HexNAc(3)Hex(5)dHex(1) % 1583.57070889,G15486FH,HexNAc(3)Hex(5)dHex(1),1583.57070889
G15762AE,HexNAc(1)Hex(2) % 545.195584305,G05394UY,HexNAc(1)Hex(2),545.195584305
G15765EV,HexNAc(3)Hex(1)dHex(1)Sulpho(1) % 1015.31622948,G15765EV,HexNAc(3)Hex(1)dHex(1)Sulpho(1),1015.31622948
G15765GX,Hex(2) % 342.1162117,G90627TW,Hex(2),342.1162117
G15765SG,Hex(4) % 666.2218587,G90306QO,Hex(4),666.2218587
G15766UM,HexNAc(5)Hex(7)dHex(1) % 2313.8351011,G85987RP,HexNAc(5)Hex(7)dHex(1),2313.8351011
G15767QI,HexNAc(5)Hex(7)NeuAc(2) % 2749.96802549,G05609XV,HexNAc(5)Hex(7)NeuAc(2),2749.96802549
G15767SO,HexNAc(5)Hex(6)NeuAc(1)NeuGc(2) % 2911.00044789,G16546FJ,HexNAc(5)Hex(6)NeuAc(1)NeuGc(2),2911.00044789
G15771JK,HexNAc(5)Hex(6)dHex(1) % 2151.78227759,G44211QA,HexNAc(5)Hex(6)dHex(1),2151.78227759
G15772KA,HexNAc(3)Hex(3)dHex(1) % 1259.46506189,G80475RE,HexNAc(3)Hex(3)dHex(1),1259.46506189
G15772OM,HexNAc(1)Hex(6) % 1193.4068783,G05645NK,HexNAc(1)Hex(6),1193.4068783
G15773VE,HexNAc(3)Hex(1)Sulpho(1) % 869.258320605,G53657ER,HexNAc(3)Hex(1)Sulpho(1),869.258320605
G15774QX,HexNAc(3)Hex(4)dHex(1) % 1421.51788538,G10339FR,HexNAc(3)Hex(4)dHex(1),1421.51788538
G15775PN,HexNAc(5)Hex(4)dHex(1)NeuAc(1) % 2118.77204723,G44953PJ,HexNAc(5)Hex(4)dHex(1)NeuAc(1),2118.77204723
G15776WE,HexNAc(1)Hex(2)dHex(1) % 691.253493175,G11235SR,HexNAc(1)Hex(2)dHex(1),691.253493175
G15777ZX,HexNAc(4)Hex(5)dHex(1) % 1786.65008149,G83555HU,HexNAc(4)Hex(5)dHex(1),1786.65008149
G15779BV,HexNAc(3)Hex(4)dHex(1) % 1421.51788538,G10339FR,HexNAc(3)Hex(4)dHex(1),1421.51788538
G15783GA,HexNAc(1)Hex(1) % 383.142760805,G43417UB,HexNAc(1)Hex(1),383.142760805
G15791TK,HexNAc(4)Hex(5)dHex(2) % 1932.70799036,G60923RB,HexNAc(4)Hex(5)dHex(2),1932.70799036
G15792GH,HexNAc(5)Hex(6)dHex(1)NeuAc(1)NeuGc(1) % 2749.96802549,G50204XM,HexNAc(5)Hex(6)dHex(1)NeuAc(1)NeuGc(1),2749.96802549
G15794TC,HexNAc(6)Hex(7)NeuAc(4) % 3535.23823137,G11115RO,HexNAc(6)Hex(7)NeuAc(4),3535.23823137
G15794WJ,HexNAc(2)Hex(1)NeuAc(1) % 877.317550045,G48586RX,HexNAc(2)Hex(1)NeuAc(1),877.317550045
G15803PZ,HexNAc(6)Hex(4)dHex(1) % 2030.7560032,G56610MH,HexNAc(6)Hex(4)dHex(1),2030.7560032
G15806UI,HexNAc(2)Hex(7) % 1558.53907441,G31852PQ,HexNAc(2)Hex(7),1558.53907441
G15807GH,HexNAc(4)Hex(4) % 1478.53934912,G72787SB,HexNAc(4)Hex(4),1478.53934912
G15807NZ,HexNAc(1)NeuAc(1) % 512.18535394,G90085MT,HexNAc(1)NeuAc(1),512.18535394
G15807RF,HexNAc(3)Hex(4)NeuAc(2) % 1857.65080979,G60667HJ,HexNAc(3)Hex(4)NeuAc(2),1857.65080979
G15810CI,Hex(1)Sulpho(1) % 260.02020279,G94024VN,Hex(1)Sulpho(1),260.02020279
G15811HE,HexNAc(3)Hex(6) % 1599.56562352,G28541PG,HexNAc(3)Hex(6),1599.56562352
G15813JZ,HexNAc(3)Sulpho(1) % 707.205497105,G04203ZT,HexNAc(3)Sulpho(1),707.205497105
G15813LB,HexNAc(1)Hex(2)NeuAc(1) % 836.29100094,G38025DM,HexNAc(1)Hex(2)NeuAc(1),836.29100094
G15817TT,HexNAc(1)Hex(1)dHex(1) % 529.200669675,G54129SE,HexNAc(1)Hex(1)dHex(1),529.200669675
G15819YF,HexNAc(3)Hex(1)dHex(1) % 935.359414885,G21259PI,HexNAc(3)Hex(1)dHex(1),935.359414885
G15821ZM,HexNAc(5)Hex(7)dHex(1)NeuAc(2) % 2896.02593437,G77338BR,HexNAc(5)Hex(7)dHex(1)NeuAc(2),2896.02593437
G15822CI,HexNAc(7)Hex(5)dHex(2)NeuAc(1) % 2833.04152481,G11105NL,HexNAc(7)Hex(5)dHex(2)NeuAc(1),2833.04152481
G15824OV,HexNAc(1)Hex(1)dHex(1) % 529.200669675,G54129SE,HexNAc(1)Hex(1)dHex(1),529.200669675
G15825OT,HexNAc(5)Hex(3)dHex(1) % 1665.6238071,G88725PI,HexNAc(5)Hex(3)dHex(1),1665.6238071
G15825TO,HexNAc(1)Hex(2) % 545.195584305,G05394UY,HexNAc(1)Hex(2),545.195584305
G15827JT,HexNAc(2)Hex(13) % 2530.85601541,G12959FT,HexNAc(2)Hex(13),2530.85601541
G15827LG,HexNAc(6)Hex(7)dHex(3) % 2809.03029144,G42789YX,HexNAc(6)Hex(7)dHex(3),2809.03029144
G15828AN,HexNAc(4)Hex(5)dHex(1) % 1786.65008149,G83555HU,HexNAc(4)Hex(5)dHex(1),1786.65008149
G15828HX,HexNAc(5)Hex(3)dHex(1) % 1665.6238071,G88725PI,HexNAc(5)Hex(3)dHex(1),1665.6238071
G15828WB,HexNAc(6)Hex(7)dHex(2) % 2662.97238257,G02287BL,HexNAc(6)Hex(7)dHex(2),2662.97238257
G15833OD,HexNAc(2)Hex(4) % 1072.38060391,G92050GC,HexNAc(2)Hex(4),1072.38060391
G15838EG,HexNAc(1)Hex(1)Sulpho(1) % 463.099575395,G06461TM,HexNAc(1)Hex(1)Sulpho(1),463.099575395
G15843XU,HexNAc(4)Hex(3) % 1316.48652562,G35029YA,HexNAc(4)Hex(3),1316.48652562
G15848ID,HexNAc(1)Hex(2)NeuAc(1) % 836.29100094,G38025DM,HexNAc(1)Hex(2)NeuAc(1),836.29100094
G15849KC,HexNAc(2)Hex(3)dHex(1) % 1056.38568928,G20956ZV,HexNAc(2)Hex(3)dHex(1),1056.38568928
G15850HT,Hex(4)dHex(1) % 812.27976757,G19865KY,Hex(4)dHex(1),812.27976757
G15859AU,HexNAc(6)Hex(5)dHex(1)NeuAc(3) % 3066.09507661,G21976AG,HexNAc(6)Hex(5)dHex(1)NeuAc(3),3066.09507661
G15860LG,HexNAc(5)Hex(5)dHex(3)NeuAc(2) % 2864.0361051,G70974BY,HexNAc(5)Hex(5)dHex(3)NeuAc(2),2864.0361051
G15861GO,HexNAc(5)Hex(4)dHex(2)Sulpho(1) % 2053.69135405,G42407LQ,HexNAc(5)Hex(4)dHex(2)Sulpho(1),2053.69135405
G15864EZ,Hex(2)Sulpho(1) % 422.07302629,G59365RI,Hex(2)Sulpho(1),422.07302629
G15866AM,HexNAc(4)Hex(3)Pent(1) % 1448.52878442,G00131HY,HexNAc(4)Hex(3)Pent(1),1448.52878442
G15867JB,HexNAc(5)Hex(8)dHex(1) % 2475.8879246,G60743GT,HexNAc(5)Hex(8)dHex(1),2475.8879246
G15867XT,HexNAc(4)Hex(2)dHex(1) % 1300.49161099,G60060GI,HexNAc(4)Hex(2)dHex(1),1300.49161099
G15868RK,Hex(1)Pent(1) % 312.105647,G25325JY,Hex(1)Pent(1),312.105647
G15870AR,HexNAc(2)Hex(2) % 748.27495691,G53434XO,HexNAc(2)Hex(2),748.27495691
G15873NB,HexNAc(3)Hex(7)dHex(1)Sulpho(1) % 1987.63317048,G31944OC,HexNAc(3)Hex(7)dHex(1)Sulpho(1),1987.63317048
G15874WL,HexNAc(1)Hex(4)dHex(1) % 1015.35914017,G25928EE,HexNAc(1)Hex(4)dHex(1),1015.35914017
G15876HU,HexNAc(2)Hex(2)dHex(1)NeuAc(1) % 1185.42828242,G75365RL,HexNAc(2)Hex(2)dHex(1)NeuAc(1),1185.42828242
G15876RF,HexNAc(5)Hex(5)dHex(2) % 2135.78736296,G29651HS,HexNAc(5)Hex(5)dHex(2),2135.78736296
G15881BW,HexNAc(8)Hex(8)dHex(2) % 3231.18395128,G15881BW,HexNAc(8)Hex(8)dHex(2),3231.18395128
G15887VX,HexNAc(5)Hex(5)dHex(1)NeuAc(1) % 2280.82487073,G12580WI,HexNAc(5)Hex(5)dHex(1)NeuAc(1),2280.82487073
G15893YJ,HexNAc(5)Hex(6)NeuAc(2) % 2587.915202,G27947YN,HexNAc(5)Hex(6)NeuAc(2),2587.915202
G15897BU,HexNAc(2)Hex(2)dHex(3) % 1186.44868352,G67531TM,HexNAc(2)Hex(2)dHex(3),1186.44868352
G15898FJ,HexNAc(7)Hex(6)NeuAc(1) % 2702.97853057,G84259QT,HexNAc(7)Hex(6)NeuAc(1),2702.97853057
G15902GI,HexNAc(6)Hex(5)dHex(1)NeuAc(2) % 2774.99965997,G19517GM,HexNAc(6)Hex(5)dHex(1)NeuAc(2),2774.99965997
G15904GB,HexNAc(7)Hex(8)dHex(1)NeuAc(1) % 3173.14208644,G82348RD,HexNAc(7)Hex(8)dHex(1)NeuAc(1),3173.14208644
G15905SP,HexNAc(3)Hex(5) % 1437.51280002,G39446WN,HexNAc(3)Hex(5),1437.51280002
G15908WF,HexNAc(6)Hex(4)dHex(1) % 2030.7560032,G56610MH,HexNAc(6)Hex(4)dHex(1),2030.7560032
G15910HD,HexNAc(1)Hex(11) % 2003.67099581,G29807WF,HexNAc(1)Hex(11),2003.67099581
G15914IG,HexNAc(1)Hex(1)Sulpho(1) % 463.099575395,G06461TM,HexNAc(1)Hex(1)Sulpho(1),463.099575395
G15919RU,Hex(2)NeuGc(1) % 649.206542965,G15919RU,Hex(2)NeuGc(1),649.206542965
G15921HT,HexNAc(3)Hex(4)dHex(1)NeuAc(1) % 1712.61330202,G72791KH,HexNAc(3)Hex(4)dHex(1)NeuAc(1),1712.61330202
G15923IB,HexNAc(2)Hex(4)NeuAc(2) % 1654.57143718,G98553XA,HexNAc(2)Hex(4)NeuAc(2),1654.57143718
G15926EF,HexNAc(2)Hex(4)NeuGc(1) % 1379.47093518,G24701BA,HexNAc(2)Hex(4)NeuGc(1),1379.47093518
G15933JV,HexNAc(3)Hex(6)dHex(1)NeuAc(1) % 2036.71894902,G09528DL,HexNAc(3)Hex(6)dHex(1)NeuAc(1),2036.71894902
G15934PK,HexNAc(6)Hex(6)dHex(2) % 2500.91955907,G05049IC,HexNAc(6)Hex(6)dHex(2),2500.91955907
G15938BX,HexNAc(5)Hex(4)dHex(1) % 1827.6766306,G68318VE,HexNAc(5)Hex(4)dHex(1),1827.6766306
G15939HX,HexNAc(6)Hex(7)NeuGc(2) % 2985.03722736,G95732YS,HexNAc(6)Hex(7)NeuGc(2),2985.03722736
G15945ON,HexNAc(4)Hex(5)NeuAc(2) % 2222.78300589,G00912UN,HexNAc(4)Hex(5)NeuAc(2),2222.78300589
G15948XY,HexNAc(1)Hex(2)Sulpho(1) % 625.152398895,G06932DR,HexNAc(1)Hex(2)Sulpho(1),625.152398895
G15949MV,HexNAc(5)Hex(4)dHex(1)NeuAc(1) % 2118.77204723,G44953PJ,HexNAc(5)Hex(4)dHex(1)NeuAc(1),2118.77204723
G15949YP,HexNAc(1)Hex(1)dHex(1) % 529.200669675,G54129SE,HexNAc(1)Hex(1)dHex(1),529.200669675
G15951DL,HexNAc(5)Hex(6)NeuAc(4) % 3170.10603527,G70389OA,HexNAc(5)Hex(6)NeuAc(4),3170.10603527
G15952WX,HexNAc(3)Hex(1)NeuAc(1) % 1080.39692265,G58797XH,HexNAc(3)Hex(1)NeuAc(1),1080.39692265
G15954AT,HexNAc(1)Hex(1)Sulpho(1) % 463.099575395,G06461TM,HexNAc(1)Hex(1)Sulpho(1),463.099575395
G15954SJ,HexNAc(6)Hex(7)dHex(1)Sulpho(1) % 2596.87128829,G48840WY,HexNAc(6)Hex(7)dHex(1)Sulpho(1),2596.87128829
G15956KF,HexNAc(2)Hex(6) % 1396.48625091,G41247ZX,HexNAc(2)Hex(6),1396.48625091
G15959XJ,Hex(2) % 342.1162117,G90627TW,Hex(2),342.1162117
G15963OJ,HexNAc(2)Hex(5)dHex(1) % 1380.49133628,G16407EV,HexNAc(2)Hex(5)dHex(1),1380.49133628
G15967UC,HexNAc(2)Hex(11) % 2206.75036841,G58087IP,HexNAc(2)Hex(11),2206.75036841
G15968KS,HexNAc(8)Hex(7)NeuAc(2)Sulpho(2) % 3519.11977249,G15968KS,HexNAc(8)Hex(7)NeuAc(2)Sulpho(2),3519.11977249
G15968QV,HexNAc(2)Hex(2)dHex(1) % 894.33286578,G93579XB,HexNAc(2)Hex(2)dHex(1),894.33286578
G15971GJ,HexNAc(6)Hex(6) % 2208.80374133,G49906RN,HexNAc(6)Hex(6),2208.80374133
G15972DM,HexNAc(6)Hex(7)dHex(1) % 2516.9144737,G49739MP,HexNAc(6)Hex(7)dHex(1),2516.9144737
G15973YF,HexNAc(2)Hex(1) % 586.22213341,G58001LT,HexNAc(2)Hex(1),586.22213341
G15982ZG,HexNAc(7)Hex(9)dHex(2) % 3190.15740218,G41972NX,HexNAc(7)Hex(9)dHex(2),3190.15740218
G15985WB,HexNAc(1)Hex(1)NeuAc(1)NeuGc(1) % 981.328508705,G76100HQ,HexNAc(1)Hex(1)NeuAc(1)NeuGc(1),981.328508705
G15987FM,HexNAc(6)Hex(5)dHex(1) % 2192.8088267,G69364JQ,HexNAc(6)Hex(5)dHex(1),2192.8088267
G15988BO,HexNAc(6)Hex(5) % 2046.75091783,G43769HG,HexNAc(6)Hex(5),2046.75091783
G15993DW,HexNAc(6)Hex(7)dHex(1)NeuAc(3) % 3390.2007236,G41044JW,HexNAc(6)Hex(7)dHex(1)NeuAc(3),3390.2007236
G15996IF,HexNAc(5)Hex(6)dHex(1) % 2151.78227759,G44211QA,HexNAc(5)Hex(6)dHex(1),2151.78227759
G15998PL,HexNAc(2)Hex(4)NeuAc(1) % 1363.47602054,G97205DE,HexNAc(2)Hex(4)NeuAc(1),1363.47602054
G15998WM,HexNAc(6)Hex(7)NeuAc(4) % 3535.23823137,G11115RO,HexNAc(6)Hex(7)NeuAc(4),3535.23823137
G16005BJ,HexNAc(5)Hex(5)NeuAc(2) % 2425.8623785,G98611JV,HexNAc(5)Hex(5)NeuAc(2),2425.8623785
G16015YK,HexNAc(4)Hex(3)dHex(2) % 1608.60234336,G61855PQ,HexNAc(4)Hex(3)dHex(2),1608.60234336
G16017RW,HexNAc(7)Hex(6)dHex(1) % 2557.94102281,G89009DQ,HexNAc(7)Hex(6)dHex(1),2557.94102281
G16025BC,HexNAc(1)Hex(9) % 1679.5653488,G45703RF,HexNAc(1)Hex(9),1679.5653488
G16026TZ,HexNAc(3)Hex(5)NeuAc(1) % 1728.60821665,G37399XV,HexNAc(3)Hex(5)NeuAc(1),1728.60821665
G16027BJ,Hex(2) % 342.1162117,G90627TW,Hex(2),342.1162117
G16028RM,HexNAc(6)Hex(7)dHex(1)NeuAc(2) % 3099.10530697,G32926LW,HexNAc(6)Hex(7)dHex(1)NeuAc(2),3099.10530697
G16036RF,HexNAc(1)Hex(2)NeuAc(1) % 836.29100094,G38025DM,HexNAc(1)Hex(2)NeuAc(1),836.29100094
G16038YA,HexNAc(5)Hex(4)NeuAc(1) % 1972.71413836,G86182NS,HexNAc(5)Hex(4)NeuAc(1),1972.71413836
G16040ZU,HexNAc(2)Hex(2)dHex(2) % 1040.39077465,G51210WZ,HexNAc(2)Hex(2)dHex(2),1040.39077465
G16042LM,HexNAc(4)Hex(3)dHex(1) % 1462.54443449,G25987BV,HexNAc(4)Hex(3)dHex(1),1462.54443449
G16046ST,Hex(3) % 504.1690352,G39365VM,Hex(3),504.1690352
G16052XD,HexNAc(5)Hex(6)NeuGc(3) % 2926.99536252,G66228GC,HexNAc(5)Hex(6)NeuGc(3),2926.99536252
G16056IF,HexNAc(5)Hex(3)NeuAc(4) % 2683.94756477,G47186OL,HexNAc(5)Hex(3)NeuAc(4),2683.94756477
G16057DE,HexNAc(7)Hex(6)dHex(1) % 2557.94102281,G89009DQ,HexNAc(7)Hex(6)dHex(1),2557.94102281
